Digikey Part Number,What Is it?,QTY Needed for 1 board,Price Per Item,Total Price,Link
Q108-ND,Plug + Wire,1, $4.67 , $4.67 ,https://www.digikey.com/product-detail/en/qualtek/311013-01/Q108-ND/183392
Q227-ND,Female Receptical,3, $0.99 , $2.97 ,https://www.digikey.com/product-detail/en/qualtek/738W-X2-03/Q227-ND/245568
1904-1023-1-ND,Wifi/BT Module,1, $3.80 , $3.80 ,https://www.digikey.com/product-detail/en/espressif-systems/ESP32-WROOM-32D/1904-1023-1-ND/9381732
255-3922-1-ND,Solid State Relay,3, $1.82 , $5.46 ,https://www.digikey.com/product-detail/en/panasonic-electric-works/AQH2223AX/255-3922-1-ND/3885629
AZ1117EH-3.3TRG1DIDKR-ND,Voltage Regulator 3.3V,1, $0.42 , $0.42 ,https://www.digikey.com/product-detail/en/diodes-incorporated/AZ1117EH-3-3TRG1/AZ1117EH-3-3TRG1DIDKR-ND/5001343
DMN2056U-7DICT-ND,NFET,3, $0.37 , $1.11 ,https://www.digikey.com/products/en?keywords=DMN2056U-7DICT-ND
311-100LRCT-ND,Resistor 100 ohm,9, $0.10 , $0.90 ,https://www.digikey.com/product-detail/en/yageo/RC0402FR-07100RL/311-100LRCT-ND/729474
311-10KGRCT-ND,Resistor 10k ohm,4, $0.10 , $0.40 ,https://www.digikey.com/product-detail/en/yageo/RC0603JR-0710KL/311-10KGRCT-ND/729647
399-4873-1-ND,Capacitor 1uF,2, $0.10 , $0.20 ,https://www.digikey.com/product-detail/en/kemet/C0402C105K9PACTU/399-4873-1-ND/1090868
399-4925-1-ND,Capacitor 10uF,1, $0.16 , $0.16 ,https://www.digikey.com/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920
399-1043-1-ND,Capacitor 0.1uF,2, $0.10 , $0.20 ,https://www.digikey.com/product-detail/en/kemet/C0402C104Z4VAC7867/399-1043-1-ND/411318
C503B-BCS-CV0Z0461-ND,LEDs,3, $0.21 , $0.63 ,https://www.digikey.com/products/en?keywords=C503B-BCS-CV0Z0461-ND
768-1204-ND,USB to serial cable,1, $16.86 , $16.86 , https://www.digikey.com/product-detail/en/adafruit-industries-llc/954/1528-2128-ND/7064488 
S3306-ND,Edge Connector,1, $6.09 , $6.09 ,https://www.digikey.com/product-detail/en/sullins-connector-solutions/EBC15DRAS/S3306-ND/927258
945-3181-ND,5V 1A ac/dc Converter,1, $10.85 , $10.85 ,https://www.digikey.com/product-detail/en/recom-power/RAC05-05SK-277-W/945-3181-ND/9356894
,,,, $-   ,
,,,, $-   ,
,,,, $-   ,
,,,Grand Total:, $54.72 ,
